index,errors,Subclass(reg_5v),Param(reg_5v.ripple_current_factor),inductor,inductor_val,inductance,5v_area,5v_count
0,2,Tps561201,"(0.15, 0.25)",CBC3225T220KR,620mA 22uH ±10% 270m? 1210 Inductors (SMD) ROHS,"(1.98E-5,2.42E-5)",56.621605,8
1,2,Tps561201,"(0.2, 0.3)",CBC3225T220KR,620mA 22uH ±10% 270m? 1210 Inductors (SMD) ROHS,"(1.98E-5,2.42E-5)",56.621605,8
2,2,Tps561201,"(0.25, 0.35)",CBC3225T220KR,620mA 22uH ±10% 270m? 1210 Inductors (SMD) ROHS,"(1.98E-5,2.42E-5)",56.621605,8
3,2,Tps561201,"(0.3, 0.4)",CBC3225T220KR,620mA 22uH ±10% 270m? 1210 Inductors (SMD) ROHS,"(1.98E-5,2.42E-5)",56.621605,8
4,2,Tps561201,"(0.35, 0.45)",CBC3225T220KR,620mA 22uH ±10% 270m? 1210 Inductors (SMD) ROHS,"(1.98E-5,2.42E-5)",56.621605,8
5,2,Tps561201,"(0.4, 0.5)",CBC3225T220KR,620mA 22uH ±10% 270m? 1210 Inductors (SMD) ROHS,"(1.98E-5,2.42E-5)",56.621605,8
6,2,Tps561201,"(0.45, 0.55)",CBC3225T220KR,620mA 22uH ±10% 270m? 1210 Inductors (SMD) ROHS,"(1.98E-5,2.42E-5)",56.621605,8
7,0,Tps54202h,"(0.15, 0.25)",CBC3225T220KR,620mA 22uH ±10% 270m? 1210 Inductors (SMD) ROHS,"(1.98E-5,2.42E-5)",60.943203,9
8,0,Tps54202h,"(0.2, 0.3)",CBC3225T220KR,620mA 22uH ±10% 270m? 1210 Inductors (SMD) ROHS,"(1.98E-5,2.42E-5)",60.943203,9
9,0,Tps54202h,"(0.25, 0.35)",CBC3225T220KR,620mA 22uH ±10% 270m? 1210 Inductors (SMD) ROHS,"(1.98E-5,2.42E-5)",60.943203,9
10,0,Tps54202h,"(0.3, 0.4)",CBC3225T220KR,620mA 22uH ±10% 270m? 1210 Inductors (SMD) ROHS,"(1.98E-5,2.42E-5)",60.943203,9
11,0,Tps54202h,"(0.35, 0.45)",CBC3225T220KR,620mA 22uH ±10% 270m? 1210 Inductors (SMD) ROHS,"(1.98E-5,2.42E-5)",60.943203,9
12,0,Tps54202h,"(0.4, 0.5)",CBC3225T220KR,620mA 22uH ±10% 270m? 1210 Inductors (SMD) ROHS,"(1.98E-5,2.42E-5)",60.943203,9
13,0,Tps54202h,"(0.45, 0.55)",CBC3225T220KR,620mA 22uH ±10% 270m? 1210 Inductors (SMD) ROHS,"(1.98E-5,2.42E-5)",60.943203,9
